,News Account,Screen Name,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago,News Created Date Simplified
51,@CNN,CNN,"President Trump mocked for ""Mission Accomplished!"" tweet ",Sun Apr 15 13:35:03 +0000 2018,985511826271227904,759251,56,310,40152913,-0.3802,0.0,0.755,0.245,52,Apr 15
52,@CNN,CNN,"Former US Attorney Preet Bharara responds to President Trump's Sunday morning tweetstorm: ""I don't think that Donald Trump has a decent understanding of what the attorney client privilege is"" #CNNSOTU ",Sun Apr 15 13:20:57 +0000 2018,985508275532828672,759251,468,1650,40152913,0.3612,0.079,0.9209999999999999,0.0,53,Apr 15
53,@CNN,CNN,"""Let's not kid ourselves that somehow if we stop chemical weapons from being used, the horror of what's going on [in Syria] is going to somehow stop,"" says Independent Sen. Angus King on US missile strikes in Syria ",Sun Apr 15 13:20:13 +0000 2018,985508090672971777,759251,93,269,40152913,-0.8834,0.0,0.7609999999999999,0.239,54,Apr 15
54,@CNN,CNN,Independent Sen. Angus King on President Trump’s “mission accomplished” tweet regarding the strikes on Syria: “I think it’s impossible to say at this point that the mission has been accomplished” #CNNSOTU ,Sun Apr 15 13:08:24 +0000 2018,985505116911521792,759251,76,286,40152913,-0.3612,0.0,0.925,0.075,55,Apr 15
55,@CNN,CNN,Did you know CNN’s Christiane Amanpour was housemates with JFK Jr at Brown University? Amanpour was witness to Jackie Kennedy’s parental philosophy. #TheKennedys tonight at 9 p.m. ET. ,Sun Apr 15 13:00:17 +0000 2018,985503076823035904,759251,128,504,40152913,0.0,0.0,1.0,0.0,56,Apr 15
56,@CNN,CNN,"RT @CNNSotu: Good Morning! Today on #CNNSOTU w/ @JakeTapper: @SenAngusKing, @MichaelAvenatti, @PreetBharara, @JenGranholm, @RickSantorum, @…",Sun Apr 15 12:54:03 +0000 2018,985501507595456512,759251,124,0,40152913,0.4926,0.18600000000000003,0.8140000000000001,0.0,57,Apr 15
57,@CNN,CNN,"Former FBI director James Comey kicks off his publicity tour with a Sunday evening interview on ABC News. CNN's Jake Tapper is set to interview Comey on April 19.
 ",Sun Apr 15 12:44:05 +0000 2018,985498999577808901,759251,156,465,40152913,0.0,0.0,1.0,0.0,58,Apr 15
58,@CNN,CNN,These two women left their own wedding receptions early to take final exams ,Sun Apr 15 12:31:04 +0000 2018,985495722530361344,759251,212,987,40152913,0.0,0.0,1.0,0.0,59,Apr 15
59,@CNN,CNN,Actors Robert De Niro and Ben Stiller made surprise appearances on 'Saturday Night Live' to spoof the FBI raid on Michael Cohen ,Sun Apr 15 12:11:12 +0000 2018,985490722563481600,759251,287,1444,40152913,0.2732,0.084,0.9159999999999999,0.0,60,Apr 15
60,@CNN,CNN,"Here's one more reason to ""fear the reaper"" -- the Carolina Reaper, that is, said to be over 400 times spicier than jalapeños.

A 34-year-old man ate one and got excruciating pain in his head and neck, prompting him to go to an ER, according to a report. ",Sun Apr 15 12:01:06 +0000 2018,985488182983700480,759251,129,275,40152913,-0.9014,0.0,0.8029999999999999,0.19699999999999998,61,Apr 15
61,@CNN,CNN,This 20-year-old wants to interview every WWII combat veteran he can before it's too late ,Sun Apr 15 11:31:03 +0000 2018,985480618267086849,759251,276,1612,40152913,-0.34,0.0,0.87,0.13,62,Apr 15
62,@CNN,CNN,Facebook should pay us for using our personal data | @CNNOpinion ,Sun Apr 15 11:01:05 +0000 2018,985473078980472832,759251,453,1631,40152913,-0.1027,0.0,0.877,0.12300000000000001,63,Apr 15
63,@CNN,CNN,NASA has released a breathtaking virtual tour of the Moon in 4K resolution ,Sun Apr 15 10:31:00 +0000 2018,985465506042793984,759251,557,1156,40152913,0.4588,0.188,0.812,0.0,64,Apr 15
64,@CNN,CNN,A sperm whale that washed up on a beach had 64 pounds of plastic and garbage in its stomach ,Sun Apr 15 10:01:04 +0000 2018,985457975316840448,759251,419,437,40152913,0.0,0.0,1.0,0.0,65,Apr 15
65,@CNN,CNN,"Facebook knows you better than you think:

• With 10 likes, a computer model fundamentally knows you better than a colleague

• With 70 likes, it knows you better than a friend or roommate

• With 300 likes, Big Data knows you better than your spouse

",Sun Apr 15 09:31:02 +0000 2018,985450414094127104,759251,415,563,40152913,0.9690000000000001,0.413,0.5870000000000001,0.0,66,Apr 15
66,@CNN,CNN,"An Australian river turtle with a distinctive green punk-rock hairstyle, two spikes under its chin and the ability to breathe through its genitals is on a new list of endangered reptiles ",Sun Apr 15 09:01:04 +0000 2018,985442875180748801,759251,399,921,40152913,0.3182,0.071,0.929,0.0,67,Apr 15
67,@CNN,CNN,"More than 4,000 black men, women, and children died at the hands of white mobs between 1877 and 1950. Can you name any of them? This memorial in Montgomery, Alabama, is trying to change that. ",Sun Apr 15 08:31:00 +0000 2018,985435306978693121,759251,3645,7635,40152913,-0.5574,0.0,0.909,0.091,68,Apr 15
